num_points,psnr_mean,psnr_std
0,0.12181375554097328,0.002037843191673967
1,0.13547462322652926,0.002222811210273429
2,0.14850825176356494,0.0024433328672706332
3,0.15780118795031556,0.0024928256626208308
4,0.16652347178040894,0.0026399715266836907
5,0.172047478656185,0.002702051476920049
6,0.17767271768003226,0.0027992056588261784
8,0.18480429285647465,0.0028426784368291214
10,0.19051242220102269,0.0029152862792677313
13,0.1972875548814474,0.0029522724426062283
16,0.20304040339124646,0.0030071422446983033
20,0.20918854629686018,0.0030590573390056955
25,0.21344707837369137,0.0030716226923463044
32,0.2199770526098902,0.00312108498472524
40,0.22377146197357245,0.003157503482624423
50,0.22837206738518032,0.003171382514551694
63,0.23214184868668591,0.0031706204663818527
79,0.23592378746645926,0.003199852987175335
100,0.23912896767325123,0.0031984284651675327
126,0.2421932414030571,0.00319681256690842
158,0.24501814475945344,0.0032144587939942526
200,0.24746401963482598,0.0032166656897503485
251,0.2492244097880905,0.003196349838215586
316,0.2507314221313256,0.003186128969284039
398,0.2519302297238662,0.0031597642869226387
501,0.2522945992128947,0.0031349794609627406
